quality sub-characteristic	Practice	Annotator_1	Annotator_2	Annotator_3	Annotator_4	Annotator_5	Annotator_6	Annotator_7	Annotator_8	Annotator_9	Annotator_10	Annotator_11	Annotator_12	Annotator_13
standards-compliance	automate the ML lifecycle	0	0	0	0	0	0	0	0	0	0	0	0	0
vulnerability	automate the ML lifecycle	0	0	0	0	0	0	0	0	0	0	0	0	0
accuracy	automated tests	0	0	0	0	0	0	0	0	0	0	0	0	0
effectiveness	automated tests	0	0	0	0	0	0	0	0	0	0	0	0	0
responsiveness	automated tests	0	0	0	0	0	0	0	0	0	0	0	0	0
reusability	automated tests	0	0	0	0	0	0	0	0	0	0	0	0	0
cost-effectiveness	automated tests	1	3	2	1	1	2	0	1	0	2	3	2	0
efficiency	automated tests	1	0	0	1	1	2	2	3	0	3	3	1	2
availability	automated tests	1	0	0	0	1	3	2	0	1	2	2	1	3
resilience	automated tests	2	0	0	1	1	3	3	0	4	2	2	3	4
adaptability	automated tests	0	0	3	0	3	1	3	3	3	2	2	1	2
scalability	automated tests	0	0	0	0	0	0	0	0	0	0	0	0	0
extensibility	automated tests	0	3	4	2	3	4	3	2	3	2	2	0	0
maintainability	automated tests	4	3	4	3	3	4	4	3	4	4	3	2	3
modularity	automated tests	0	2	3	2	3	4	3	4	1	2	1	3	1
testability	automated tests	1	4	4	4	3	4	4	4	4	4	4	4	4
deployability	automated tests	0	0	3	0	3	4	3	3	3	3	3	4	3
repeatability	automated tests	3	2	3	0	3	4	1	1	3	4	1	3	1
operability	automated tests	0	2	3	0	3	1	2	3	3	2	2	2	3
monitoring	automated tests	0	2	1	0	3	1	0	0	4	2	1	3	1
discoverability	automated tests	0	0	0	0	0	0	0	0	0	0	0	0	0
readability	automated tests	0	0	0	0	0	0	0	0	0	0	0	0	0
traceability	automated tests	0	0	0	0	0	0	0	0	0	0	0	0	0
understandability	automated tests	0	0	0	0	0	0	0	0	0	0	0	0	0
usability	automated tests	0	0	0	0	0	0	0	0	0	0	0	0	0
debuggability	automated tests	0	0	0	0	0	0	0	0	0	0	0	0	0
explainability	automated tests	0	0	0	0	0	0	0	0	0	0	0	0	0
fairness	automated tests	0	0	0	0	0	0	0	0	0	0	0	0	0
ownership	automated tests	0	0	0	0	0	0	0	0	0	0	0	0	0
standards-compliance	automated tests	0	0	0	0	0	0	0	0	0	0	0	0	0
vulnerability	automated tests	0	0	0	0	0	0	0	0	0	0	0	0	0
accuracy	fast development lifecycle feedback loops for easier debugging	0	0	0	0	0	0	0	0	0	0	0	0	0
effectiveness	fast development lifecycle feedback loops for easier debugging	0	0	0	0	0	0	0	0	0	0	0	0	0
responsiveness	fast development lifecycle feedback loops for easier debugging	0	0	0	0	0	0	0	0	0	0	0	0	0
reusability	fast development lifecycle feedback loops for easier debugging	0	0	0	0	0	0	0	0	0	0	0	0	0
cost-effectiveness	fast development lifecycle feedback loops for easier debugging	0	4	2	1	0	3	1	3	4	3	3	4	1
efficiency	fast development lifecycle feedback loops for easier debugging	2	0	0	2	0	4	2	4	4	3	3	3	0
availability	fast development lifecycle feedback loops for easier debugging	1	1	0	0	1	1	3	4	0	2	3	1	0
resilience	fast development lifecycle feedback loops for easier debugging	2	1	0	0	1	3	3	3	4	2	1	2	0
adaptability	fast development lifecycle feedback loops for easier debugging	0	0	2	0	1	4	3	1	4	2	3	3	0
scalability	fast development lifecycle feedback loops for easier debugging	0	0	0	0	0	0	0	0	0	0	0	0	0
extensibility	fast development lifecycle feedback loops for easier debugging	1	1	4	2	2	4	2	0	3	1	3	3	0
maintainability	fast development lifecycle feedback loops for easier debugging	3	3	4	1	2	4	3	2	4	3	3	3	0
modularity	fast development lifecycle feedback loops for easier debugging	0	1	0	3	0	1	0	2	2	2	1	1	0
testability	fast development lifecycle feedback loops for easier debugging	1	3	3	2	1	2	2	4	4	3	3	4	3
deployability	fast development lifecycle feedback loops for easier debugging	1	1	2	1	1	3	4	3	4	3	3	4	0
repeatability	fast development lifecycle feedback loops for easier debugging	0	2	2	3	1	1	4	0	3	1	0	4	0
operability	fast development lifecycle feedback loops for easier debugging	0	0	0	0	0	0	0	0	0	0	0	0	0
monitoring	fast development lifecycle feedback loops for easier debugging	0	0	0	0	0	0	0	0	0	0	0	0	0
discoverability	fast development lifecycle feedback loops for easier debugging	0	0	0	0	0	0	0	0	0	0	0	0	0
readability	fast development lifecycle feedback loops for easier debugging	0	0	0	0	0	0	0	0	0	0	0	0	0
traceability	fast development lifecycle feedback loops for easier debugging	0	0	0	0	0	0	0	0	0	0	0	0	0
understandability	fast development lifecycle feedback loops for easier debugging	0	0	0	0	0	0	0	0	0	0	0	0	0
usability	fast development lifecycle feedback loops for easier debugging	0	0	0	0	0	0	0	0	0	0	0	0	0
debuggability	fast development lifecycle feedback loops for easier debugging	0	0	0	0	0	0	0	0	0	0	0	0	0
explainability	fast development lifecycle feedback loops for easier debugging	0	0	0	0	0	0	0	0	0	0	0	0	0
fairness	fast development lifecycle feedback loops for easier debugging	0	0	0	0	0	0	0	0	0	0	0	0	0
ownership	fast development lifecycle feedback loops for easier debugging	0	0	0	0	0	0	0	0	0	0	0	0	0
standards-compliance	fast development lifecycle feedback loops for easier debugging	0	0	0	0	0	0	0	0	0	0	0	0	0
vulnerability	fast development lifecycle feedback loops for easier debugging	0	0	0	0	0	0	0	0	0	0	0	0	0
accuracy	achieve feature parity	4	3	4	4	2	2	3	2	3	4	3	4	2
effectiveness	achieve feature parity	4	3	4	3	2	4	3	4	3	4	3	2	2
responsiveness	achieve feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
reusability	achieve feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
cost-effectiveness	achieve feature parity	3	2	0	2	1	2	1	3	3	4	0	1	0
efficiency	achieve feature parity	3	2	0	2	0	2	3	2	3	3	1	1	2
availability	achieve feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
resilience	achieve feature parity	2	3	0	1	1	4	3	0	3	4	3	2	2
adaptability	achieve feature parity	1	0	0	0	1	4	2	0	1	1	1	1	0
scalability	achieve feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
extensibility	achieve feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
maintainability	achieve feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
modularity	achieve feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
testability	achieve feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
deployability	achieve feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
repeatability	achieve feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
operability	achieve feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
monitoring	achieve feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
discoverability	achieve feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
readability	achieve feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
traceability	achieve feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
understandability	achieve feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
usability	achieve feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
debuggability	achieve feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
explainability	achieve feature parity	2	1	0	0	1	0	1	3	3	3	0	2	0
fairness	achieve feature parity	1	0	0	0	0	2	0	4	4	4	1	3	0
ownership	achieve feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
standards-compliance	achieve feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
vulnerability	achieve feature parity	0	0	0	0	0	0	0	0	0	0	0	0	0
accuracy	keep historical features up to date	4	3	4	4	3	2	1	4	4	4	3	2	2
effectiveness	keep historical features up to date	3	3	4	3	3	4	1	3	4	4	3	4	0
responsiveness	keep historical features up to date	0	0	0	0	0	0	0	0	0	0	0	0	0
reusability	keep historical features up to date	0	0	0	0	0	0	0	0	0	0	0	0	0
cost-effectiveness	keep historical features up to date	3	3	0	2	0	0	1	1	3	4	1	2	0
efficiency	keep historical features up to date	3	2	0	0	0	0	1	0	4	4	1	1	0
availability	keep historical features up to date	0	2	0	0	0	1	0	0	0	1	2	0	0
resilience	keep historical features up to date	3	1	0	0	0	3	1	3	2	3	3	2	2
adaptability	keep historical features up to date	1	2	0	4	0	0	2	0	0	3	3	2	2
scalability	keep historical features up to date	0	0	0	0	0	0	0	0	0	0	0	0	0
extensibility	keep historical features up to date	0	0	0	0	0	0	0	0	0	0	0	0	0
maintainability	keep historical features up to date	0	0	0	0	0	0	0	0	0	0	0	0	0
modularity	keep historical features up to date	0	0	0	0	0	0	0	0	0	0	0	0	0
testability	keep historical features up to date	0	0	0	0	0	0	0	0	0	0	0	0	0
deployability	keep historical features up to date	0	0	0	0	0	0	0	0	0	0	0	0	0
repeatability	keep historical features up to date	0	0	0	0	0	0	0	0	0	0	0	0	0
operability	keep historical features up to date	0	0	0	0	0	0	0	0	0	0	0	0	0
monitoring	keep historical features up to date	0	0	0	0	0	0	0	0	0	0	0	0	0
discoverability	keep historical features up to date	0	0	0	0	0	0	0	0	0	0	0	0	0
readability	keep historical features up to date	0	0	0	0	0	0	0	0	0	0	0	0	0
traceability	keep historical features up to date	0	0	0	0	0	0	0	0	0	0	0	0	0
understandability	keep historical features up to date	0	0	0	0	0	0	0	0	0	0	0	0	0
usability	keep historical features up to date	0	0	0	0	0	0	0	0	0	0	0	0	0
debuggability	keep historical features up to date	0	0	0	0	0	0	0	0	0	0	0	0	0
explainability	keep historical features up to date	1	0	0	0	3	0	1	3	1	0	0	2	1
fairness	keep historical features up to date	1	0	0	2	1	0	1	3	3	4	1	2	1
ownership	keep historical features up to date	0	0	0	0	0	0	0	0	0	0	0	0	0
standards-compliance	keep historical features up to date	0	0	0	0	0	0	0	0	0	0	0	0	0
vulnerability	keep historical features up to date	0	0	0	0	0	0	0	0	0	0	0	0	0
accuracy	remove redundant features	1	1	1	3	3	4	2	4	3	4	3	4	2
effectiveness	remove redundant features	1	1	0	1	0	4	2	4	4	4	3	2	1
responsiveness	remove redundant features	4	2	0	1	3	0	1	4	3	3	3	1	1
reusability	remove redundant features	2	1	2	3	0	3	1	0	4	1	3	1	0
cost-effectiveness	remove redundant features	4	4	4	1	1	3	3	4	4	4	3	1	1
efficiency	remove redundant features	4	4	4	3	1	2	2	4	4	3	4	1	1
availability	remove redundant features	2	0	0	1	0	1	1	3	1	0	3	0	0
resilience	remove redundant features	2	1	0	1	0	1	1	2	2	1	3	0	0
adaptability	remove redundant features	0	0	0	0	0	0	0	0	0	0	0	0	0
scalability	remove redundant features	3	0	0	1	3	1	1	2	3	3	3	2	2
extensibility	remove redundant features	0	0	0	0	0	0	0	0	0	0	0	0	0
maintainability	remove redundant features	0	0	0	0	0	0	0	0	0	0	0	0	0
modularity	remove redundant features	0	0	0	0	0	0	0	0	0	0	0	0	0
testability	remove redundant features	0	0	0	0	0	0	0	0	0	0	0	0	0
deployability	remove redundant features	0	0	0	0	0	0	0	0	0	0	0	0	0
repeatability	remove redundant features	0	0	0	0	0	0	0	0	0	0	0	0	0
operability	remove redundant features	0	0	0	0	0	0	0	0	0	0	0	0	0
monitoring	remove redundant features	0	0	0	0	0	0	0	0	0	0	0	0	0
discoverability	remove redundant features	0	0	0	0	0	0	0	0	0	0	0	0	0
readability	remove redundant features	0	0	0	0	0	0	0	0	0	0	0	0	0
traceability	remove redundant features	0	0	0	0	0	0	0	0	0	0	0	0	0
understandability	remove redundant features	0	0	0	0	0	0	0	0	0	0	0	0	0
usability	remove redundant features	0	0	0	0	0	0	0	0	0	0	0	0	0
debuggability	remove redundant features	0	0	0	0	0	0	0	0	0	0	0	0	0
explainability	remove redundant features	3	2	2	3	0	1	1	3	2	4	4	4	3
fairness	remove redundant features	2	0	0	1	0	2	0	3	4	4	2	3	0
ownership	remove redundant features	0	0	0	0	0	0	0	0	0	0	0	0	0
standards-compliance	remove redundant features	0	0	0	0	0	0	0	0	0	0	0	0	0
vulnerability	remove redundant features	1	0	0	0	0	2	1	2	4	3	2	1	3
accuracy	dealing with feedback loos in experimentation	3	4	0	0	0	0	0	0	0	0	0	0	0
effectiveness	dealing with feedback loos in experimentation	3	3	4	0	0	0	0	0	0	0	0	0	0
responsiveness	dealing with feedback loos in experimentation	0	0	0	0	0	0	0	0	0	0	0	0	0
reusability	dealing with feedback loos in experimentation	2	1	0	0	0	0	0	0	0	0	0	0	0
cost-effectiveness	dealing with feedback loos in experimentation	3	1	0	0	0	0	0	0	0	0	0	0	0
efficiency	dealing with feedback loos in experimentation	1	1	0	0	0	0	0	0	0	0	0	0	0
availability	dealing with feedback loos in experimentation	0	0	0	0	0	0	0	0	0	0	0	0	0
resilience	dealing with feedback loos in experimentation	3	3	0	0	0	0	0	0	0	0	0	0	0
adaptability	dealing with feedback loos in experimentation	2	2	0	0	0	0	0	0	0	0	0	0	0
scalability	dealing with feedback loos in experimentation	0	0	0	0	0	0	0	0	0	0	0	0	0
extensibility	dealing with feedback loos in experimentation	0	0	0	0	0	0	0	0	0	0	0	0	0
maintainability	dealing with feedback loos in experimentation	0	0	0	0	0	0	0	0	0	0	0	0	0
modularity	dealing with feedback loos in experimentation	0	0	0	0	0	0	0	0	0	0	0	0	0
testability	dealing with feedback loos in experimentation	0	0	0	0	0	0	0	0	0	0	0	0	0
deployability	dealing with feedback loos in experimentation	0	0	0	0	0	0	0	0	0	0	0	0	0
repeatability	dealing with feedback loos in experimentation	0	0	0	0	0	0	0	0	0	0	0	0	0
operability	dealing with feedback loos in experimentation	0	0	0	0	0	0	0	0	0	0	0	0	0
monitoring	dealing with feedback loos in experimentation	0	0	0	0	0	0	0	0	0	0	0	0	0
discoverability	dealing with feedback loos in experimentation	0	0	0	0	0	0	0	0	0	0	0	0	0
readability	dealing with feedback loos in experimentation	0	0	0	0	0	0	0	0	0	0	0	0	0
traceability	dealing with feedback loos in experimentation	0	0	0	0	0	0	0	0	0	0	0	0	0
understandability	dealing with feedback loos in experimentation	0	0	0	0	0	0	0	0	0	0	0	0	0
usability	dealing with feedback loos in experimentation	0	0	0	0	0	0	0	0	0	0	0	0	0
debuggability	dealing with feedback loos in experimentation	0	0	0	0	0	0	0	0	0	0	0	0	0
explainability	dealing with feedback loos in experimentation	1	0	2	0	0	0	0	0	0	0	0	0	0
fairness	dealing with feedback loos in experimentation	0	0	0	0	0	0	0	0	0	0	0	0	0
ownership	dealing with feedback loos in experimentation	0	0	0	0	0	0	0	0	0	0	0	0	0
standards-compliance	dealing with feedback loos in experimentation	0	0	0	0	0	0	0	0	0	0	0	0	0
vulnerability	dealing with feedback loos in experimentation	0	0	0	0	0	0	0	0	0	0	0	0	0
accuracy	peer code review	2	1	2	1	0	3	2	3	1	4	2	3	2
effectiveness	peer code review	2	1	2	1	0	3	3	4	3	3	2	3	2
responsiveness	peer code review	1	1	0	1	3	2	1	2	1	2	2	3	2
reusability	peer code review	1	1	0	2	3	4	2	0	3	3	3	2	2
cost-effectiveness	peer code review	0	0	0	0	0	0	0	0	0	0	0	0	0
efficiency	peer code review	0	0	0	0	0	0	0	0	0	0	0	0	0
availability	peer code review	0	0	0	0	0	0	0	0	0	0	0	0	0
resilience	peer code review	2	1	0	1	3	2	3	0	2	4	2	2	2
adaptability	peer code review	1	1	1	1	3	2	3	0	0	3	2	2	2
scalability	peer code review	1	0	0	1	3	2	1	0	2	1	0	2	2
extensibility	peer code review	2	4	3	1	3	4	3	0	2	1	2	2	1
maintainability	peer code review	2	4	2	3	3	4	3	0	4	3	2	3	3
modularity	peer code review	2	3	0	3	3	3	3	3	4	4	1	3	2
testability	peer code review	2	2	0	3	3	3	3	3	2	4	3	3	2
deployability	peer code review	0	0	0	0	0	0	0	0	0	0	0	0	0
repeatability	peer code review	0	0	0	0	0	0	0	0	0	0	0	0	0
operability	peer code review	0	0	0	0	0	0	0	0	0	0	0	0	0
monitoring	peer code review	0	0	0	0	0	0	0	0	0	0	0	0	0
discoverability	peer code review	0	0	2	1	1	4	1	0	1	0	2	4	0
readability	peer code review	4	4	3	4	3	4	4	3	3	4	2	4	3
traceability	peer code review	1	0	0	1	3	2	2	3	0	3	1	2	1
understandability	peer code review	3	1	4	3	3	4	3	4	2	4	3	4	2
usability	peer code review	0	1	1	1	3	2	3	3	0	1	2	1	2
debuggability	peer code review	0	2	0	3	3	2	3	3	2	3	2	4	2
explainability	peer code review	0	0	0	0	0	0	0	0	0	0	0	0	0
fairness	peer code review	0	0	0	0	0	0	0	0	0	0	0	0	0
ownership	peer code review	0	0	0	0	0	0	0	0	0	0	0	0	0
standards-compliance	peer code review	0	0	0	0	0	0	0	0	0	0	0	0	0
vulnerability	peer code review	0	0	0	0	0	0	0	0	0	0	0	0	0
accuracy	offline metric correlates with production metric	3	4	0	4	0	3	4	0	4	4	2	3	2
effectiveness	offline metric correlates with production metric	4	4	4	4	0	4	3	4	4	2	3	3	2
responsiveness	offline metric correlates with production metric	0	0	0	0	0	0	0	0	0	0	0	0	0
reusability	offline metric correlates with production metric	0	0	0	0	0	0	0	0	0	0	0	0	0
cost-effectiveness	offline metric correlates with production metric	0	0	0	0	0	0	0	0	0	0	0	0	0
efficiency	offline metric correlates with production metric	0	0	0	0	0	0	0	0	0	0	0	0	0
availability	offline metric correlates with production metric	0	0	0	0	0	0	0	0	0	0	0	0	0
resilience	offline metric correlates with production metric	0	1	0	1	2	3	3	0	2	4	1	3	2
adaptability	offline metric correlates with production metric	0	0	0	0	0	0	0	0	0	0	0	0	0
scalability	offline metric correlates with production metric	0	0	0	0	0	0	0	0	0	0	0	0	0
extensibility	offline metric correlates with production metric	0	1	3	0	0	2	0	2	3	2	3	0	0
maintainability	offline metric correlates with production metric	0	0	2	1	3	3	0	0	0	2	3	0	0
modularity	offline metric correlates with production metric	0	0	0	0	0	0	0	0	0	0	0	0	0
testability	offline metric correlates with production metric	0	0	3	1	0	0	0	0	0	3	4	3	2
deployability	offline metric correlates with production metric	0	0	0	0	0	0	0	0	0	0	0	0	0
repeatability	offline metric correlates with production metric	0	0	0	0	0	0	0	0	0	0	0	0	0
operability	offline metric correlates with production metric	0	0	0	0	0	0	0	0	0	0	0	0	0
monitoring	offline metric correlates with production metric	0	0	0	0	0	0	0	0	0	0	0	0	0
discoverability	offline metric correlates with production metric	0	0	0	0	0	0	0	0	0	0	0	0	0
readability	offline metric correlates with production metric	0	0	0	0	0	0	0	0	0	0	0	0	0
traceability	offline metric correlates with production metric	0	2	0	1	1	0	0	0	0	3	0	1	0
understandability	offline metric correlates with production metric	0	1	0	0	0	1	0	0	3	3	0	2	0
usability	offline metric correlates with production metric	0	3	0	1	0	1	0	3	1	2	3	0	2
debuggability	offline metric correlates with production metric	0	0	1	1	1	0	2	0	2	4	3	0	3
explainability	offline metric correlates with production metric	0	0	0	0	0	0	0	0	0	0	0	0	0
fairness	offline metric correlates with production metric	0	0	0	0	0	0	0	0	0	0	0	0	0
ownership	offline metric correlates with production metric	0	0	0	0	0	0	0	0	0	0	0	0	0
standards-compliance	offline metric correlates with production metric	0	0	0	0	0	0	0	0	0	0	0	0	0
vulnerability	offline metric correlates with production metric	0	0	0	0	0	0	0	0	0	0	0	0	0
accuracy	mimic production setting in offline evalutation	4	2	4	3	2	4	3	3	2	4	2	4	2
effectiveness	mimic production setting in offline evalutation	4	2	4	3	3	4	3	3	3	3	3	4	1
responsiveness	mimic production setting in offline evalutation	0	0	0	0	0	0	0	0	0	0	0	0	0
reusability	mimic production setting in offline evalutation	0	1	0	0	0	2	2	3	0	2	1	0	0
cost-effectiveness	mimic production setting in offline evalutation	0	0	0	0	0	0	0	0	0	0	0	0	0
efficiency	mimic production setting in offline evalutation	0	0	0	0	0	0	0	0	0	0	0	0	0
availability	mimic production setting in offline evalutation	0	3	0	0	0	2	2	0	2	2	3	0	0
resilience	mimic production setting in offline evalutation	0	3	0	1	0	3	3	0	3	2	3	0	0
adaptability	mimic production setting in offline evalutation	0	0	0	0	0	0	0	0	0	0	0	0	0
scalability	mimic production setting in offline evalutation	0	0	0	0	0	0	0	0	0	0	0	0	0
extensibility	mimic production setting in offline evalutation	1	2	2	0	0	2	1	0	0	1	1	0	0
maintainability	mimic production setting in offline evalutation	2	3	2	0	0	2	3	2	3	4	3	0	1
modularity	mimic production setting in offline evalutation	0	1	0	0	0	0	2	0	0	1	0	0	0
testability	mimic production setting in offline evalutation	2	0	2	1	3	1	3	3	4	4	4	4	4
deployability	mimic production setting in offline evalutation	0	0	0	0	0	0	0	0	0	0	0	0	0
repeatability	mimic production setting in offline evalutation	0	0	0	0	0	0	0	0	0	0	0	0	0
operability	mimic production setting in offline evalutation	0	0	0	0	0	0	0	0	0	0	0	0	0
monitoring	mimic production setting in offline evalutation	0	0	0	0	0	0	0	0	0	0	0	0	0
discoverability	mimic production setting in offline evalutation	0	0	0	0	0	0	0	0	0	0	0	0	0
readability	mimic production setting in offline evalutation	0	0	0	0	0	0	0	0	0	0	0	0	0
traceability	mimic production setting in offline evalutation	0	0	0	0	0	0	0	0	0	0	0	0	0
understandability	mimic production setting in offline evalutation	0	1	0	0	0	0	1	0	2	3	0	0	0
usability	mimic production setting in offline evalutation	0	3	0	1	2	0	1	2	2	1	3	0	0
debuggability	mimic production setting in offline evalutation	0	3	2	3	2	3	3	2	2	4	4	4	3
explainability	mimic production setting in offline evalutation	0	0	0	0	0	0	0	0	0	0	0	0	0
fairness	mimic production setting in offline evalutation	0	0	0	0	0	0	0	0	0	0	0	0	0
ownership	mimic production setting in offline evalutation	0	0	0	0	0	0	0	0	0	0	0	0	0
standards-compliance	mimic production setting in offline evalutation	0	0	0	0	0	0	0	0	0	0	0	0	0
vulnerability	mimic production setting in offline evalutation	0	0	0	0	0	0	0	0	0	0	0	0	0
accuracy	compare with a baseline	1	1	0	2	1	2	3	3	4	4	2	4	0
effectiveness	compare with a baseline	1	1	0	2	3	3	3	4	4	4	3	3	2
responsiveness	compare with a baseline	0	0	0	0	0	0	0	0	0	0	0	0	0
reusability	compare with a baseline	0	1	0	0	1	0	1	3	1	0	1	1	0
cost-effectiveness	compare with a baseline	0	0	0	0	0	0	0	0	0	0	0	0	0
efficiency	compare with a baseline	0	0	0	0	0	0	0	0	0	0	0	0	0
availability	compare with a baseline	0	0	0	0	0	0	0	0	0	0	0	0	0
resilience	compare with a baseline	0	0	0	0	0	0	0	0	0	0	0	0	0
adaptability	compare with a baseline	0	0	0	0	0	0	0	0	0	0	0	0	0
scalability	compare with a baseline	0	0	0	0	0	0	0	0	0	0	0	0	0
extensibility	compare with a baseline	0	0	0	0	0	0	0	0	0	0	0	0	0
maintainability	compare with a baseline	0	0	0	0	0	0	0	0	0	0	0	0	0
modularity	compare with a baseline	0	0	0	0	0	0	0	0	0	0	0	0	0
testability	compare with a baseline	0	0	0	0	0	0	0	0	0	0	0	0	0
deployability	compare with a baseline	0	0	0	0	0	0	0	0	0	0	0	0	0
repeatability	compare with a baseline	0	0	0	0	0	0	0	0	0	0	0	0	0
operability	compare with a baseline	0	0	0	0	0	0	0	0	0	0	0	0	0
monitoring	compare with a baseline	0	0	0	0	0	0	0	0	0	0	0	0	0
discoverability	compare with a baseline	0	0	0	0	0	0	0	0	0	0	0	0	0
